,,1,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,,,50,51,52,53,54,55,56,57,58,59,60,,,,1,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,Cistus monspeliensis L.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,.,.,.,,,Moehringia pentandra J. Gay,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Clematis cirrhosa L.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,Colchicum lusitanum Brot. [sub],.,.,1,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,Piptatherum paradoxum (L.) P. Beauv.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Clematis flammula L.,.,.,.,.,.,.,(+),.,.,2,.,.,+,.,.,.,.,.,.,.,1,1,.,.,.,.,+
,,,,,Dactylis glomerata L. subsp. lusitanica Stebbins & Zohary [sub],.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,Geum sylvaticum Pourr.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Clematis vitalba L.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,Dianthus broteri Boiss. & Reut. [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,,,Carex depressa Link,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Cleonia lusitanica (L.) L.,.,.,.,.,.,(+),(+),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira [sub],.,+,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,Quercus Xmixta,1,.,.,.,.,.,.,.,.,1,.,,,,,,a,Thymbra capitata (L.) Cav. [sub],.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,Magydaris panacifolia (Vahl) Lange in Willk. & Lange,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,,,Smilax aspera L. [sub],1,1,1,1,+,1,3,1,1,1,.,,,,,,a,Coronilla juncea L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,.,1,.,1,.,.,.,.,.,.,.
,,,,,Melica minuta L.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,Rubia peregrina L. [sub],+,1,2,.,+,.,+,2,1,1,.,,,,,,h,Cosentinia vellea (Aiton) Tod.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.
,,,,,Ophrys vernixia Brot.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],1,1,1,1,2,3,3,1,1,1,+,,,,,,a,Crataegus monogyna Jacq.,3,+,+,+,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,+
,,,,,Pulicaria odora (L.) Rchb.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,,,Daphne gnidium L.,1,1,1,2,+,2,1,1,.,.,1,,,,,,a,Crataegus monogyna Jacq. [sub],.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.
,,,,,Rumex intermedius DC. in Lam. & DC. [sub],.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,Selaginella denticulata (L.) Spring,.,.,.,1,.,2,.,.,2,3,.,,,,,,a,Cytisus arboreus (Desf.) DC. [sub],.,.,.,(+),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
