,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,,,,1,2,3,4,5,6,7,8,,,,1,2,3,,,,1,,,,1,2,3,4,,,,1,2,3,4,5,6,7,8,9,10
,Ceratocapnos claviculata (L.) Lidén,.,.,.,.,.,.,.,+,.,.,.,+,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,Laserpitium eliasii Sennen & Pau subsp. thalictrifolium (Samp.) P. Monts. [sub],.,.,.,+,,,Andryala integrifolia L.,.,.,.,+,.,.,.,.,+,.
,Corylus avellana L.,.,.,.,.,.,.,.,1,.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,Lathyrus linifolius (Reichard) Bässler [sub],.,.,.,+,,,Asplenium onopteris L.,.,.,.,.,.,.,.,.,+,r
,Epilobium montanum L.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,Leucanthemum vulgare Lam.,.,r,.,.,,,Campanula lusitanica L. in Loefl.,.,.,.,+,.,+,.,.,.,.
,Sorbus aucuparia L.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],.,+,.,.,,,Crepis capillaris (L.) Wallr.,.,.,.,+,.,r,.,.,.,.
,Carex depauperata Curtis ex With.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,Lotus pedunculatus Cav.,.,.,+,.,,,Digitalis purpurea L.,.,.,.,.,.,.,+,.,.,+
,Hieracium glaucinum Jord.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,+,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,Luzula lactea (Link) E.Mey.,.,.,.,+,,,Fragaria vesca L.,.,.,.,.,.,+,.,.,.,2
,Dryopteris filix-mas (L.) Schott,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,Melica uniflora Retz.,.,2,.,.,,,Geranium sanguineum L.,2,.,.,3,.,.,.,.,.,.
,Euphorbia amygdaloides L. subsp. amygdaloides,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,1,,,,,,,,,,,,,,,,,,,,,,,,Myosotis arvensis (L.) Hill,+,.,.,.,,,Hieracium gr. umbellatum L. [sub],.,.,.,.,.,.,.,1,+,.
,Ilex aquifolium L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,+,,,,,,,,,,,,,,,,,,,,,,,,Rubus sp.,.,1,.,.,,,Hypochaeris radicata L. [sub],.,.,.,+,.,.,.,+,.,.
,Ornithogalum pyrenaicum L. subsp. pyrenaicum,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,Sanguisorba verrucosa (Link ex G. Don) Ces. [sub],.,.,.,+,,,Laserpitium nestleri subsp. thalictrifoll,.,.,.,.,.,.,.,r,2,.
,Sanicula europaea L.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,Sedum forsterianum Sm. in Sowerby [sub],.,.,.,+,,,Lathyrus linifolius (Reichard) Bässler [sub],.,.,2,.,.,.,.,.,+,.
,Doronicum plantagineum L.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,Sedum amplexicaule DC. [sub],.,.,r,.,,,Ligusticum lucidum Mill.,.,.,.,.,.,.,+,+,.,.
,Acer pseudoplatanus L.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,Senecio lividus L.,+,.,.,.,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman,.,+,.,.,.,.,.,.,.,1
,Solidago virgaurea L.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,Silene vulgaris (Moench) Garcke,.,r,.,.,,,Lotus pedunculatus Cav.,.,.,.,+,.,.,.,.,.,+
,Hieracium maculatum Sm.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,Sonchus asper (L.) Hill,.,.,+,.,,,Peucedanum gallicum Latourr.,.,.,1,.,.,.,.,+,.,.
