,,71,72,73,74,75,76,77,78,79,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,,1,,,,1,,,,1,2,3,4,5,6,7,,,,1,2,3,4,5
,Thymus zygis Loefl. ex L. subsp. sylvestris (Hoffmanns. & Link) Cout. [sub],.,.,.,.,.,.,.,.,.,,,Polypodium cambricum L. subsp. cambricum [sub],+,.,.,+,.,+,.,.,.,+,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Salvia sclareoides Brot.,+,+,+,1,+,1,1,+,+,,,Lathyrus clymenum L.,+,.,.,.,.,+,+,.,.,+,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genista tounefortii,+,1,.,1,+,2,.,+,.,,,Thapsia villosa L.,.,.,.,+,+,.,.,.,.,.,.,.,.,+,+,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Serratula baetica Boiss. ex DC. subsp. lusitanica Cantó [sub],1,+,+,+,.,.,.,+,.,,,Oxalis pes-caprae L.,+,.,.,.,+,+,.,.,.,+,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cheirolophus sempervirens (L.) Pomel,1,1,+,1,1,+,.,.,.,,,Teucrium scorodonia L.,.,.,.,1,.,.,.,+,.,.,.,.,.,.,.,.,+,.,+,,,,,,,,,,,,,,,,,,,,,,,,,,
,Silene longicilia (Brot.) Otth,+,+,+,1,.,.,.,1,.,,,Erophaca baetica (L.) Boiss. [sub],.,.,.,+,.,.,.,+,.,.,.,.,.,.,.,.,+,.,+,,,,,,,,,,,,,,,,,,,,,,,,,,
,Antirrhinum majus L. subsp. linkianum (Boiss. & Reut.) Rothm. [sub],.,+,+,+,+,.,+,+,.,,,Narcissus tingitanus Fdz. Casas [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,+,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ulex jussiaei Webb,.,.,.,.,1,+,.,.,.,,,Crataegus monogyna Jacq. [sub],.,.,.,.,.,.,.,+,.,.,1,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jurinea humilis (Desf.) DC. [sub],.,.,.,.,.,.,.,.,.,,,Pteridium aquilinum (L.) Kuhn in Kerst.,.,.,1,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Erica scoparia L.,.,.,.,.,.,.,.,.,.,,,Calendula suffruticosa Vahl subsp. tomentosa Murb. [sub],.,+,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Halimium lasianthum (Lam.) Spach,.,.,.,.,.,.,.,.,.,,,Clinopodium vulgare L.,.,.,+,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thymus villosus L.,.,.,.,.,.,.,.,.,.,,,Stachys germanica L. [sub],+,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nepa boivinii (Webb) Webb [sub],.,.,.,.,.,.,.,.,.,,,Piptatherum miliaceum (L.) Coss.,.,.,.,.,.,+,.,.,.,+,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ulex argenteus Welw. ex Webb,.,.,.,.,.,.,.,.,.,,,Pulicaria odora (L.) Rchb.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,+,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drosophyllum lusitanicum (L.) Link,.,.,.,.,.,.,.,.,.,,,Barlia robertiana (Loisel.) Greuter,.,.,.,+,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Serratula algarbiensis,.,.,.,.,.,.,.,.,.,,,Arum italicum Mill.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ulex australis Clemente subsp. welwitschianus (Planch.) Espírito Santo & al. [sub],.,.,.,.,.,.,.,.,.,,,Ferula communis L.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Halimium calycinum (L.) K. Koch,.,.,.,.,.,.,.,.,.,,,Lobularia maritima (L.) Desv.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,
